repo,stars,new-stars-last-30d,new-stars-last-14d,new-stars-last-7d,new-stars-last-24H,stars-per-mille-30d,days-last-star,days-last-commit,days-since-creation,mentionable-users,language,archived,dependencies,main-category,sub-category,liveness,unique-contributors
go-gota/gota,2790,28,14,10,3,10.036,0,774,2847,26,Go,false,2,Go,Data Analysis / Data Visualization,35.000,0
ajstarks/svgo,2053,7,2,2,1,3.410,0,759,5010,2,Go,false,2,Go,Data Analysis / Data Visualization,22.000,0
arafatk/glot,383,2,1,0,0,5.222,12,212,2287,4,Go,false,0,Go,Data Analysis / Data Visualization,7.000,0
mmcloughlin/globe,1583,3,1,1,0,1.895,2,89,2334,1,Go,false,2,Go,Data Analysis / Data Visualization,12.000,0
StepLg/go-graph,96,0,0,0,0,0.000,172,2938,4945,2,Go,false,0,Go,Data Analysis / Data Visualization,0.000,0
fxsjy/RF.go,114,0,0,0,0,0.000,88,3423,4027,3,Go,false,0,Go,Data Analysis / Data Visualization,0.000,0
hybridgroup/gocv,5887,68,40,19,0,11.551,1,42,2256,130,Go,false,2,Go,Computer vision,46.000,0
aunum/gold,324,2,1,1,0,6.173,3,1127,1440,1,Go,false,17,Go,Reinforcement learning,12.000,0
ajtulloch/haskell-ml,56,0,0,0,0,0.000,299,3465,3694,2,Haskell,false,0,Haskell,General-Purpose Machine Learning,0.000,0
mikeizbicki/HLearn,1618,2,1,1,0,1.236,5,2734,4145,12,Haskell,false,0,Haskell,General-Purpose Machine Learning,12.000,0
alpmestan/HNN,112,0,0,0,0,0.000,353,2444,4061,7,Haskell,false,0,Haskell,General-Purpose Machine Learning,0.000,0
ajtulloch/hopfield-networks,16,0,0,0,0,0.000,1353,3511,3655,2,Haskell,false,0,Haskell,General-Purpose Machine Learning,0.000,0
ajtulloch/dnngraph,698,0,0,0,0,0.000,33,2984,3203,4,Haskell,false,0,Haskell,General-Purpose Machine Learning,0.000,0
jbarrow/LambdaNet,375,1,0,0,0,2.667,24,2799,3296,10,Haskell,false,0,Haskell,General-Purpose Machine Learning,2.000,0
ClearTK/cleartk,131,0,0,0,0,0.000,67,287,3152,8,Java,false,0,Java,Natural Language Processing,0.000,0
emorynlp/nlp4j,149,0,0,0,0,0.000,67,2612,2681,7,Java,false,0,Java,Natural Language Processing,0.000,0
CogComp/cogcomp-nlp,468,0,0,0,0,0.000,46,506,2958,52,Java,false,0,Java,Natural Language Processing,0.000,0
airbnb/aerosolve,4803,3,1,1,0,0.625,6,1815,3117,55,Scala,false,0,Java,General-Purpose Machine Learning,12.000,0
